product_id,name,price,category,rating,order_date,customer_id,quantity,city,state,month
P001,Adjustable Dumbbells 4,965.56,Sports,3.9,2025-02-18,CUST90620,1,Kolkata,West Bengal,2025-02
P002,Leather Boots 87,964.41,Clothing,4.3,2026-02-22,CUST66681,1,Delhi,Delhi,2026-02
P003,Matte Lipstick 5,44.55,Beauty,3.8,2025-12-20,CUST14754,3,Kolkata,West Bengal,2025-12
P004,Facial Cleanser 72,263.29,Beauty,4.5,2025-08-25,CUST65048,4,Mumbai,Maharashtra,2025-08
P005,Matte Lipstick 29,587.27,Beauty,3.9,2025-08-22,CUST74283,5,Bengaluru,Karnataka,2025-08
P006,Wireless Earbuds 90,552.85,Electronics,3.9,2026-04-09,CUST42888,1,Mumbai,Maharashtra,2026-04
P007,Slim Fit Jeans 14,126.0,Clothing,3.6,2025-02-16,CUST36451,5,Kolkata,West Bengal,2025-02
P008,Diffuser 34,1050.41,Home,4.6,2026-01-12,CUST57056,2,Chennai,Tamil Nadu,2026-01
P009,Moisturizing Cream 49,107.96,Beauty,3.9,2025-04-19,CUST71046,1,Pune,Maharashtra,2025-04
P010,Sleeping Bag 74,254.81,Sports,3.6,2025-02-20,CUST87611,2,Mumbai,Maharashtra,2025-02
P011,Resistance Bands Set 99,380.46,Sports,3.6,2025-10-12,CUST22665,5,Kolkata,West Bengal,2025-10
P012,Leather Boots 49,365.69,Clothing,4.5,2026-06-11,CUST17985,3,Hyderabad,Telangana,2026-06
P013,Memory Foam Pillow 48,465.71,Home,4.5,2026-02-02,CUST64991,3,Delhi,Delhi,2026-02
P014,Adjustable Dumbbells 78,827.65,Sports,4.3,2026-02-16,CUST81024,3,Pune,Maharashtra,2026-02
P015,Running Shoes 60,497.01,Clothing,5.0,2026-01-23,CUST43130,2,Pune,Maharashtra,2026-01
P016,Resistance Bands Set 88,425.61,Sports,4.7,2026-03-01,CUST18234,1,Pune,Maharashtra,2026-03
P017,Smart Watch 5,1047.72,Electronics,4.1,2025-10-05,CUST60470,4,Pune,Maharashtra,2025-10
P018,Smart Watch 73,1140.01,Electronics,4.0,2025-03-11,CUST80716,4,Delhi,Delhi,2025-03
P019,Tennis Racket 51,1150.77,Sports,4.5,2026-03-30,CUST75256,3,Bengaluru,Karnataka,2026-03
P020,Hoodie Sweatshirt 18,325.13,Clothing,4.3,2025-09-01,CUST10171,1,Bengaluru,Karnataka,2025-09
P021,Diffuser 55,1167.77,Home,4.1,2025-09-28,CUST29923,1,Kolkata,West Bengal,2025-09
P022,Running Shoes 66,644.6,Clothing,4.6,2025-07-20,CUST62124,4,Chennai,Tamil Nadu,2025-07
P023,Wireless Earbuds 81,213.01,Electronics,4.5,2025-04-09,CUST34410,3,Pune,Maharashtra,2025-04
P024,Moisturizing Cream 50,499.81,Beauty,5.0,2026-05-16,CUST15330,4,Chennai,Tamil Nadu,2026-05
P025,Perfume Eau de Toilette 71,1119.84,Beauty,3.5,2026-02-27,CUST63833,4,Mumbai,Maharashtra,2026-02
P026,Adjustable Dumbbells 88,1150.91,Sports,4.6,2025-12-14,CUST88872,3,Pune,Maharashtra,2025-12
P027,Sleeping Bag 15,385.78,Sports,3.7,2025-08-06,CUST41604,2,Chennai,Tamil Nadu,2025-08
P028,4K TV 65,991.97,Electronics,4.3,2026-03-21,CUST82900,2,Kolkata,West Bengal,2026-03
P029,4K TV 82,662.91,Electronics,3.8,2025-10-22,CUST88546,4,Mumbai,Maharashtra,2025-10
P030,Memory Foam Pillow 70,1239.82,Home,4.9,2025-08-28,CUST20612,2,Chennai,Tamil Nadu,2025-08
P031,VR Headset 42,638.25,Electronics,3.7,2025-09-01,CUST99893,4,Bengaluru,Karnataka,2025-09
P032,LED Desk Lamp 31,80.95,Home,4.8,2025-05-03,CUST81770,1,Mumbai,Maharashtra,2025-05
P033,Laptop Pro 94,634.86,Electronics,3.6,2025-02-19,CUST43964,1,Bengaluru,Karnataka,2025-02
P034,Hyaluronic Serum 17,859.71,Beauty,4.9,2025-10-27,CUST20738,3,Pune,Maharashtra,2025-10
P035,Hoodie Sweatshirt 68,1134.92,Clothing,4.1,2026-04-25,CUST88881,5,Hyderabad,Telangana,2026-04
P036,Wool Scarf 97,950.52,Clothing,3.8,2025-02-04,CUST11879,5,Mumbai,Maharashtra,2025-02
P037,Ergonomic Chair 86,846.93,Home,4.2,2026-04-09,CUST94000,3,Chennai,Tamil Nadu,2026-04
P038,Clay Face Mask 16,326.78,Beauty,3.6,2026-03-23,CUST92412,1,Kolkata,West Bengal,2026-03
P039,VR Headset 71,303.76,Electronics,3.8,2025-05-30,CUST50864,1,Hyderabad,Telangana,2025-05
P040,Smartphone X 30,93.21,Electronics,3.5,2025-12-08,CUST10624,1,Hyderabad,Telangana,2025-12
P041,Air Purifier 66,313.97,Home,4.5,2025-03-31,CUST14919,1,Mumbai,Maharashtra,2025-03
P042,Wool Scarf 17,942.01,Clothing,4.8,2026-02-14,CUST45209,4,Kolkata,West Bengal,2026-02
P043,Clay Face Mask 32,1021.29,Beauty,4.7,2026-01-14,CUST19277,3,Hyderabad,Telangana,2026-01
P044,Leather Boots 13,858.71,Clothing,4.0,2025-07-11,CUST41144,5,Bengaluru,Karnataka,2025-07
P045,Kids Storybook 94,76.09,Books,4.5,2025-02-06,CUST98964,4,Pune,Maharashtra,2025-02
P046,Adjustable Dumbbells 8,526.98,Sports,4.0,2026-06-09,CUST18215,1,Hyderabad,Telangana,2026-06
P047,Smart Watch 25,252.12,Electronics,4.2,2025-08-29,CUST76620,3,Chennai,Tamil Nadu,2025-08
P048,Startup Growth Guide 36,604.63,Books,4.8,2026-04-28,CUST90511,5,Bengaluru,Karnataka,2026-04
P049,Mechanical Keyboard 71,132.68,Electronics,4.5,2026-01-02,CUST39371,1,Hyderabad,Telangana,2026-01
P050,Facial Cleanser 12,1204.71,Beauty,4.8,2026-02-25,CUST60443,4,Delhi,Delhi,2026-02
P051,Active Leggings 63,628.87,Clothing,4.8,2026-02-15,CUST14993,3,Delhi,Delhi,2026-02
P052,Wireless Earbuds 49,8.78,Electronics,4.1,2025-04-16,CUST90524,2,Hyderabad,Telangana,2025-04
P053,History Biography 55,907.38,Books,4.6,2025-07-16,CUST49924,4,Pune,Maharashtra,2025-07
P054,Clay Face Mask 20,251.72,Beauty,3.8,2025-09-10,CUST36806,4,Chennai,Tamil Nadu,2025-09
P055,VR Headset 95,707.59,Electronics,4.6,2025-09-26,CUST57076,3,Bengaluru,Karnataka,2025-09
P056,Smartphone X 75,622.95,Electronics,4.9,2025-01-24,CUST39103,1,Chennai,Tamil Nadu,2025-01
P057,Hyaluronic Serum 8,1249.24,Beauty,3.6,2025-10-23,CUST46537,3,Mumbai,Maharashtra,2025-10
P058,Leather Boots 77,93.93,Clothing,4.8,2025-03-25,CUST16970,1,Chennai,Tamil Nadu,2025-03
P059,Sci-Fi Epic Novel 73,324.59,Books,4.4,2026-02-06,CUST10049,4,Delhi,Delhi,2026-02
P060,Moisturizing Cream 54,856.63,Beauty,4.3,2026-01-04,CUST74503,5,Mumbai,Maharashtra,2026-01
P061,LED Desk Lamp 27,872.62,Home,4.0,2026-05-14,CUST34401,4,Delhi,Delhi,2026-05
P062,Ergonomic Chair 17,875.16,Home,3.9,2026-02-07,CUST17350,5,Hyderabad,Telangana,2026-02
P063,Air Purifier 2,599.01,Home,5.0,2025-07-17,CUST12972,5,Bengaluru,Karnataka,2025-07
P064,Laptop Pro 69,281.81,Electronics,3.9,2026-06-07,CUST53522,4,Kolkata,West Bengal,2026-06
P065,Air Purifier 32,484.16,Home,3.7,2025-08-10,CUST21323,5,Chennai,Tamil Nadu,2025-08
P066,Perfume Eau de Toilette 79,1279.1,Beauty,4.7,2025-06-25,CUST82568,5,Pune,Maharashtra,2025-06
P067,Facial Cleanser 86,1063.32,Beauty,3.9,2026-05-04,CUST84365,4,Kolkata,West Bengal,2026-05
P068,Adjustable Dumbbells 18,348.21,Sports,4.8,2025-07-20,CUST54131,5,Hyderabad,Telangana,2025-07
P069,Water Bottle Insulated 35,370.58,Sports,3.8,2025-02-11,CUST26883,1,Kolkata,West Bengal,2025-02
P070,Duo Coffee Maker 88,826.69,Home,3.9,2025-09-11,CUST28161,3,Hyderabad,Telangana,2025-09
P071,History Biography 7,125.42,Books,4.1,2026-03-06,CUST15136,1,Kolkata,West Bengal,2026-03
P072,Robot Vacuum 1,437.61,Home,3.7,2025-04-13,CUST18639,4,Hyderabad,Telangana,2025-04
P073,Memory Foam Pillow 95,577.73,Home,4.6,2025-09-07,CUST95300,4,Bengaluru,Karnataka,2025-09
P074,Facial Cleanser 15,103.36,Beauty,4.8,2025-03-12,CUST71991,1,Kolkata,West Bengal,2025-03
P075,Wool Scarf 5,1085.96,Clothing,4.4,2026-01-06,CUST75975,1,Pune,Maharashtra,2026-01
P076,Active Leggings 17,60.12,Clothing,4.0,2025-09-14,CUST29743,4,Bengaluru,Karnataka,2025-09
P077,Bluetooth Speaker 27,888.58,Electronics,4.5,2025-06-28,CUST33621,4,Hyderabad,Telangana,2025-06
P078,Cookware Set 53,1266.14,Home,4.6,2025-05-03,CUST81288,4,Pune,Maharashtra,2025-05
