order_id,customer_id,order_date,total_amount,payment_method,status
O00001,C04665,2026-04-17,442.54,Apple Pay,Completed
O00002,C07969,2024-11-20,1894.08,Credit Card,Completed
O00003,C04102,2025-03-30,2078.54,Credit Card,Completed
O00004,C03112,2024-09-24,173.16,PayPal,Completed
O00005,C09523,2025-11-14,94.78,Bank Transfer,Cancelled
O00006,C06530,2024-10-29,950.52,PayPal,Completed
O00007,C03348,2025-01-10,2139.62,Apple Pay,Completed
O00008,C04439,2025-12-12,2113.31,PayPal,Completed
O00009,C06407,2026-02-05,2304.02,Bank Transfer,Completed
O00010,C02983,2026-04-24,692.53,Credit Card,Completed
O00011,C05242,2024-10-09,2276.49,Credit Card,Completed
O00012,C02369,2024-06-25,2477.15,Credit Card,Completed
O00013,C05275,2025-07-29,196.78,Credit Card,Completed
O00014,C04895,2026-04-08,469.56,Google Pay,Completed
O00015,C04496,2025-01-27,189.06,Credit Card,Completed
O00016,C02391,2026-05-14,1075.82,Apple Pay,Completed
O00017,C03966,2025-09-08,556.13,PayPal,Completed
O00018,C06966,2026-04-07,4228.56,Bank Transfer,Completed
O00019,C01567,2026-03-18,326.78,Apple Pay,Completed
O00020,C05712,2025-11-25,373.79,Credit Card,Completed
O00021,C09777,2026-03-24,341.4,Credit Card,Completed
O00022,C06401,2025-05-19,992.26,Credit Card,Completed
O00023,C01191,2025-12-23,2451.88,Credit Card,Completed
O00024,C03481,2026-04-20,1983.94,PayPal,Completed
O00025,C06560,2025-10-14,2049.7,Bank Transfer,Cancelled
O00026,C00706,2026-06-01,1721.16,Bank Transfer,Completed
O00027,C05504,2026-02-27,1087.72,Apple Pay,Completed
O00028,C05013,2025-07-12,412.42,Google Pay,Completed
O00029,C09930,2025-11-17,1884.02,Bank Transfer,Completed
O00030,C06482,2025-01-22,630.0,Google Pay,Completed
O00031,C00573,2026-06-20,630.0,Credit Card,Completed
O00032,C02175,2025-06-11,1766.55,Apple Pay,Completed
O00033,C03179,2024-11-30,155.02,Bank Transfer,Completed
O00034,C02668,2026-03-19,254.81,Apple Pay,Completed
O00035,C07618,2026-05-09,709.19,Google Pay,Completed
O00036,C02240,2025-01-24,2088.16,Credit Card,Completed
O00037,C02363,2026-05-19,692.53,PayPal,Completed
O00038,C03611,2026-06-27,186.42,Google Pay,Completed
O00039,C08344,2026-06-17,1249.24,Bank Transfer,Completed
O00040,C06922,2025-10-30,634.86,PayPal,Completed
O00041,C01837,2025-03-30,4965.56,Bank Transfer,Completed
O00042,C08426,2026-02-15,583.0,Bank Transfer,Completed
O00043,C01200,2025-02-11,153.05,Apple Pay,Completed
O00044,C01534,2024-04-09,321.98,Apple Pay,Completed
O00045,C09512,2026-03-16,1932.98,Credit Card,Completed
O00046,C06452,2024-08-02,270.04,PayPal,Completed
O00047,C00651,2025-07-28,265.36,Credit Card,Completed
O00048,C00336,2026-03-12,17.56,Google Pay,Completed
O00049,C06960,2026-04-12,996.81,Apple Pay,Completed
O00050,C05524,2025-11-30,1343.85,Google Pay,Completed
O00051,C03913,2026-01-05,4872.14,Apple Pay,Completed
O00052,C06282,2025-12-02,359.47,Apple Pay,Completed
O00053,C02470,2025-08-05,1146.54,Apple Pay,Completed
O00054,C05811,2025-10-28,72.78,Google Pay,Completed
O00055,C00545,2024-08-05,2692.79,Google Pay,Completed
O00056,C00932,2026-04-14,2832.62,Google Pay,Completed
O00057,C06389,2026-04-10,131.72,Credit Card,Completed
O00058,C06359,2025-05-11,583.82,Google Pay,Completed
O00059,C02880,2025-05-20,196.78,PayPal,Completed
O00060,C09360,2025-06-17,1222.88,Apple Pay,Completed
O00061,C02434,2026-02-07,331.82,Google Pay,Completed
O00062,C02699,2026-02-08,692.43,PayPal,Completed
O00063,C05010,2024-01-14,3765.28,Apple Pay,Completed
O00064,C06491,2026-05-09,2096.21,Bank Transfer,Pending
O00065,C00443,2026-05-04,2396.26,Google Pay,Completed
O00066,C01368,2025-12-16,1564.96,Bank Transfer,Cancelled
O00067,C08558,2025-02-09,2145.12,Google Pay,Pending
O00068,C03038,2025-08-16,1457.87,Google Pay,Completed
O00069,C07788,2025-03-29,1548.38,Credit Card,Completed
O00070,C04364,2025-06-21,1688.26,Bank Transfer,Completed
O00071,C06921,2024-03-31,1342.98,Apple Pay,Completed
O00072,C00437,2026-02-06,2498.48,Apple Pay,Pending
O00073,C06341,2026-06-01,1655.3,PayPal,Completed
O00074,C03569,2026-04-16,1460.76,Bank Transfer,Completed
O00075,C06224,2026-05-16,1279.1,Apple Pay,Completed
O00076,C07890,2025-11-08,415.07,Bank Transfer,Completed
O00077,C08356,2025-05-31,988.58,Google Pay,Completed
O00078,C06754,2026-04-04,463.55,Apple Pay,Cancelled
O00079,C02613,2026-04-03,250.5,Google Pay,Completed
O00080,C04696,2025-12-26,2864.08,Apple Pay,Completed
O00081,C01996,2024-09-30,3147.2,Credit Card,Completed
O00082,C04822,2024-05-06,298.96,PayPal,Completed
O00083,C08540,2025-02-08,584.88,Google Pay,Completed
O00084,C06201,2025-08-12,561.48,Apple Pay,Completed
O00085,C06417,2025-11-25,2049.7,Bank Transfer,Completed
O00086,C02988,2024-08-28,827.65,Bank Transfer,Completed
O00087,C08231,2026-03-06,3424.78,Apple Pay,Completed
O00088,C00128,2024-04-29,2335.54,PayPal,Pending
O00089,C02474,2026-05-30,187.86,PayPal,Completed
